facility_name,location_type,operator,status,changing_stations,latitude,longitude,location_1,:@computed_region_yeji_bk3q,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q,:@computed_region_f5dn_yrer,accessibility,restroom_type,open,hours_of_operation,website,additional_notes
Monsignor Mcgolrick Playground,Park,NYC Parks,Operational,Yes,40.724830,-73.943500,"{'type': 'Point', 'coordinates': [-73.9435, 40.72483]}",2,57,38,36,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Spring Creek Park Zone 1,Park,NYC Parks,Operational,Yes,40.649170,-73.873800,"{'type': 'Point', 'coordinates': [-73.8738, 40.64917]}",2,47,25,45,,Multi-Stall W/M Restrooms,Seasonal,Open by permit,,
Crotona Tennis House & Courts,Park,NYC Parks,Operational,Yes,40.840040,-73.895300,"{'type': 'Point', 'coordinates': [-73.8953, 40.84004]}",5,25,43,34,,,Year Round,"8am-4pm, Open later seasonally",,
Midland Playground,Park,NYC Parks,Operational,Yes,40.574780,-74.098400,"{'type': 'Point', 'coordinates': [-74.0984, 40.57478]}",1,76,14,30,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Marine Park Zone 1,Park,NYC Parks,Operational,Yes,40.607870,-73.937400,"{'type': 'Point', 'coordinates': [-73.9374, 40.60787]}",2,38,8,5,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Sara D. Roosevelt Park,Park,NYC Parks,Operational,Yes,40.718810,-73.993000,"{'type': 'Point', 'coordinates': [-73.993, 40.71881]}",4,2,32,70,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Alley Pond Park Driving Range,Park,NYC Parks Concessionaire,Operational,No,40.765302,-73.749189,"{'type': 'Point', 'coordinates': [-73.749189, 40.765302]}",3,69,20,26,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,6:30am-11:30pm,,
136 St Playground,Park,NYC Parks,Operational,Yes,40.784960,-73.832800,"{'type': 'Point', 'coordinates': [-73.8328, 40.78496]}",3,67,20,22,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Auburndale Playground,Park,NYC Parks,Operational,Yes,40.765870,-73.794500,"{'type': 'Point', 'coordinates': [-73.7945, 40.76587]}",3,67,20,22,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Library for the Performing Arts, Dorothy and Lewis B. Cullman Center Library, NYPL",Library,NYPL,Operational,"""Yes, in women's restroom only""",40.773515,-73.984548,"{'type': 'Point', 'coordinates': [-73.984548, 40.773515]}",4,12,19,20,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 10:30 am - 8:00 pm 
Tuesday: 10:30 pm - 6:00 pm 
Wednesday: 10:30 pm - 6:00 pm 
Thursday: 10:30 am - 8:00 pm
Friday: 10:30 am - 6:00 pm 
Saturday: 10:30 am - 6:00 pm",{'url': 'https://www.nypl.org/locations/lpa'},
Peters Field,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.706440,-73.774700,"{'type': 'Point', 'coordinates': [-73.7747, 40.70644]}",3,61,6,41,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
"Brower Park Library, BPL",Library,BPL,Operational,Yes,40.675379,-73.948568,"{'type': 'Point', 'coordinates': [-73.948568, 40.675379]}",2,49,49,16,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/brower-park'},
"Bellerose Library, QPL",Library,QPL,Operational,Yes,40.735169,-73.717106,"{'type': 'Point', 'coordinates': [-73.717106, 40.735169]}",3,63,16,63,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/bellerose'},"Yes, a key is needed to enter"
Bill Brown Playground,Park,NYC Parks,Operational,Yes,40.591770,-73.945600,"{'type': 'Point', 'coordinates': [-73.9456, 40.59177]}",2,36,15,32,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Sherman Creek,Park,NYC Parks,Operational,Yes,40.857800,-73.922000,"{'type': 'Point', 'coordinates': [-73.922, 40.8578]}",4,22,39,47,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
Hammel Playground,Park,NYC Parks,Operational,"""Yes, in men's restroom only""",40.588190,-73.809400,"{'type': 'Point', 'coordinates': [-73.8094, 40.58819]}",3,58,47,51,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
City Line Park,Park,NYC Parks,Operational,Yes,40.679530,-73.876200,"{'type': 'Point', 'coordinates': [-73.8762, 40.67953]}",2,47,37,45,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Howard Bennett Playground,Park,NYC Parks,Operational,Yes,40.813700,-73.939000,"{'type': 'Point', 'coordinates': [-73.939, 40.8137]}",4,20,36,18,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
Steeplechase Park Carousel,Park,NYC Parks Concessionaire,Operational,Yes,40.573119,-73.983244,"{'type': 'Point', 'coordinates': [-73.983244, 40.573119]}",2,35,45,21,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,11:00am - 10:00pm midnight on weekends,,
Drew Playground,Park,NYC Parks,Operational,Yes,40.832980,-73.903300,"{'type': 'Point', 'coordinates': [-73.9033, 40.83298]}",5,25,42,34,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Van Cortlandt Pool,Park,NYC Parks,Operational,Yes,40.890660,-73.897400,"{'type': 'Point', 'coordinates': [-73.8974, 40.89066]}",5,33,40,27,,,Year Round,"8am-4pm, Open later seasonally",,
Paerdegat Basin Marina 3,Park,NYC Parks Concessionaire,Operational,No,40.627240,-73.904659,"{'type': 'Point', 'coordinates': [-73.904659, 40.62724]}",2,42,8,5,Partially Accessible,Multi-Stall W/M Restrooms,Year Round,9:00am-5:00pm,,
Century Playground,Park,NYC Parks,Operational,No,40.577020,-73.970200,"{'type': 'Point', 'coordinates': [-73.9702, 40.57702]}",2,35,15,21,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Silver Lake Golf Course,Park,NYC Parks Concessionaire,Operational,No,40.623055,-74.099068,"{'type': 'Point', 'coordinates': [-74.099068, 40.623055]}",1,74,13,4,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,6:00am-8:00pm Daily,,
"Eastchester Library, NYPL",Library,NYPL,Operational,No,40.870148,-73.845066,"{'type': 'Point', 'coordinates': [-73.845066, 40.870148]}",5,30,2,29,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/eastchester'},
"Hamilton Grange Library, NYPL",Library,NYPL,Operational,Yes,40.825681,-73.948034,"{'type': 'Point', 'coordinates': [-73.948034, 40.825681]}",4,19,23,37,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 11:00 am - 6:00 pm 
Saturday: 11:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/hamilton-grange'},
Playground Sixty Two LXII,Park,NYC Parks,Operational,Yes,40.736080,-73.852700,"{'type': 'Point', 'coordinates': [-73.8527, 40.73608]}",3,70,28,40,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Brooklyn Bridge Park Pier 5 - Boathouse/Uplands,Park,Brooklyn Bridge Park,Operational,,40.695841,-73.999127,"{'type': 'Point', 'coordinates': [-73.999127, 40.695841]}",2,54,38,68,Fully Accessible,,Year Round,,,
